subset,job_name,job_label,model,rmse_mean,rmse_std,mae_mean,mae_std,nasa_s_score_mean,nasa_s_score_std,critical_rmse_30_mean,critical_rmse_30_std,critical_rmse_50_mean,critical_rmse_50_std,overestimation_ratio_mean,overestimation_ratio_std,overestimation_magnitude_mean,overestimation_magnitude_std
FD001,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,14.97962383425699,0.7383490645449642,11.336837436358133,0.6712955849302854,439.8876585817268,70.92863715204386,4.11188932201321,0.6318006867507764,5.831029440416462,0.21787923173642978,0.63,0.043588989435406775,7.171127802530925,0.6945532319448476
FD001,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,15.50602288630518,0.8476510025667496,11.606479020118712,0.7458575744850567,509.1892891516574,212.69443955501987,5.112149584352047,0.9937614549972597,6.864056192547037,1.487462629377475,0.6233333333333333,0.06658328118479394,6.974278890291849,1.5306884224269834
FD001,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,14.856520763636292,0.5935478416448896,11.13461008389791,0.4359297837981714,434.5781656917739,58.92359022370261,4.229902688118782,0.8152547636541467,5.960050546137917,0.24452832847328396,0.6533333333333333,0.09018499505645784,7.366327808698018,1.4350395495386692
FD001,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,14.880539467630234,0.40855533712305464,10.65529366016388,0.6677675568564827,361.33967851929174,55.21096768199527,3.2996623007891994,0.498803986300294,5.394459197648961,1.1435899752176761,0.48666666666666664,0.06027713773341712,4.225973490079244,1.258227586131791
FD002,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,18.38359500697821,0.3740182026324259,13.582144717912415,0.15939736802657867,1465.8849675493357,52.33569015684265,5.191634399873315,0.09159721461279863,8.866845109081227,1.002973089495512,0.38738738738738737,0.027118799878642786,4.605291543319879,0.2139631999104435
FD002,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,17.948433442379542,0.8724760619653639,13.353495439200481,0.8497117219486118,1496.8192567073077,69.1627230865791,5.293538719564147,0.9156266049432101,9.062434053284202,0.23893122513880463,0.39897039897039893,0.009716646634840129,5.120100488994113,0.3036619282609894
FD002,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,18.05913155698264,0.15790965191143982,13.51998695704314,0.3997929644666545,1581.196402362808,236.3707175467828,5.573954299355111,0.3313249949748256,9.536494184460153,0.9761185182340045,0.4298584298584298,0.03503386766748059,5.501070490214816,0.4659052772487334
FD002,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,20.320798761161868,1.0637792072543646,15.349034150901756,0.7704735276299638,1667.1977670843507,298.6389149684643,6.062106867067133,1.2712493739643813,8.823402161467683,1.2888021210873797,0.34749034749034746,0.007722007722007769,3.8315956724503173,0.2670906978406791
FD003,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,14.706612569903944,1.7271653168293761,10.491405270894369,1.1885920433955082,562.9479867175695,249.83906964052994,5.7144147178046145,1.653075405311867,5.97725869177637,1.2690275157665223,0.5666666666666668,0.04618802153517005,6.755628110567728,1.624514451783078
FD003,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,15.336580585310633,1.0837191544580518,11.03748049259186,0.7242526931986033,657.9005753220404,329.28879867834985,5.637219216602685,1.5537888155546358,6.081821892079323,0.6899429359450566,0.6066666666666667,0.04509249752822892,7.553613224029541,1.0805063083157003
FD003,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,14.766685725605806,1.6794326709181044,10.505563944180807,0.7591336711740122,516.6704789116268,279.94100786694247,5.1797724798220335,1.0365229027787788,5.477424936870308,1.0601759283243133,0.5566666666666666,0.051316014394468853,6.558964273134868,1.0747810891659888
FD003,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,14.373488430366884,1.3901776218352386,10.00353688319524,0.6404474589195166,443.96778761684,161.73375423131492,3.8615634057283152,0.7662108757635661,4.332481615826178,0.32828008129022646,0.4266666666666667,0.04509249752822893,4.651013118426005,0.25234365672134557
FD004,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,23.398072721166358,0.9930418767777308,17.50376478061881,1.1032214657566581,9404.921265987645,5023.993318009864,18.12351467503916,5.442321854591454,22.01267633964865,5.23404892483809,0.5120967741935484,0.0454412406031639,9.2035401803191,2.648689635486646
FD004,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,22.429640762209726,0.6290929097774004,16.801000663990617,0.6366539499422849,8476.968836258386,2858.5505840075916,15.700355080120495,3.5044224892836593,19.97199687708164,2.280043875728348,0.5376344086021505,0.011640126394952155,9.112318690105152,0.4982713885183697
FD004,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,22.31934655671697,0.8445923143657995,16.54492509749628,0.9344081183130726,5595.204963352521,3063.8550004604235,16.010708080550987,4.720552758879264,19.190733678201696,4.763225335810434,0.5483870967741935,0.038465290379715564,9.000270243613953,2.6214587813991157
FD004,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,22.38463806366109,1.0253534438046983,16.570549630349685,0.7932395933804939,3325.906028132233,390.32467371192223,12.14928670545499,0.14467555503548335,15.107342935803226,0.8167124481801776,0.44489247311827956,0.03811141634074684,5.963591871082142,0.6330425760645906
