subset,seed,job_name,job_label,model,rmse,mae,nasa_s_score,critical_rmse_30,critical_rmse_50,overestimation_ratio,overestimation_magnitude
FD001,42,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,15.378351963169624,11.8943301486969,403.4836515920478,4.841429907730186,6.067820113604765,0.66,7.972584896087646
FD001,42,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,14.547377723648443,10.752580499649047,306.53564912937014,3.987563650541031,5.30783351903917,0.58,5.268186826705932
FD001,42,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,14.284017250570372,10.95651985168457,373.7285532389542,4.865853123685445,5.768787311319824,0.66,6.953605585098266
FD001,42,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,14.921037605847168,10.34337598323822,304.8946399788627,3.0970584381771027,4.582572115886456,0.43,3.069028167724609
FD001,43,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,14.127633344864634,10.591680135726929,394.55280053487655,3.7470289039559415,5.639020297777996,0.65,6.7448241233825685
FD001,43,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,15.814284626882229,12.130621433258057,490.3597474630894,5.872032246191461,7.012744526353371,0.7,8.227255477905274
FD001,43,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,15.46908346998046,11.631390013694762,491.3655018253656,4.513022814093582,5.875799188585108,0.74,8.962503218650818
FD001,43,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,14.453243240206596,10.200561060905455,363.8966728482658,2.934038999440107,4.898500550779935,0.55,4.043364815711975
FD001,44,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,15.432886194736714,11.524502024650571,521.626523618256,3.747209154353502,5.786247909866629,0.58,6.795974388122558
FD001,44,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,16.156406308384863,11.936235127449036,730.6724708625126,5.476852856323649,8.271590532248569,0.59,7.427394366264343
FD001,44,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,14.816461570358042,10.815920386314392,438.640442011002,3.310832126577319,6.235565138508819,0.56,6.182874622344971
FD001,44,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,15.267337556836935,11.421943936347962,415.2277227307467,3.867889464750389,6.702304926280491,0.48,5.565527486801147
FD002,42,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,18.184217734265125,13.39865169930182,1526.1376060981074,5.111113759986124,8.428559085515221,0.3590733590733591,4.631910141830739
FD002,42,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,17.32150397619013,12.742419958114624,1509.718058113191,4.6080239533341,8.901930139801257,0.3976833976833976,5.461090316183318
FD002,42,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,17.876889926086367,13.232191698431508,1832.332495567388,5.45848522637233,10.61708414339443,0.4555984555984556,5.963931617589531
FD002,42,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,19.31552200380805,14.532531828033418,1417.6297938677594,4.597391871204638,7.76881631399138,0.3397683397683397,3.630621950598757
FD002,43,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,18.81506089277255,13.661431089791552,1439.7884280612827,5.291286382859303,8.157611021075466,0.4131274131274131,4.379264500150349
FD002,43,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,17.57893839479885,12.994239920354715,1422.1152008043762,4.939213461495033,9.337023347312735,0.4092664092664093,4.878859409494289
FD002,43,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,18.14510949940173,13.351290870357204,1548.1978600858429,5.315814775209288,8.71861792477556,0.3899613899613899,5.032179593119382
FD002,43,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,21.43473917862964,16.063263129083346,1998.0692875028303,6.710604622114915,8.441356080738116,0.3474903474903475,3.7294878315281226
FD002,44,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,18.15150639389696,13.686351364643878,1431.7288684886166,5.172503056774519,10.014365220652993,0.3899613899613899,4.804699987978549
FD002,44,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,18.944857956149644,14.323826439132102,1558.624511204356,6.333378743863308,8.948348672738616,0.3899613899613899,5.020351741304729
FD002,44,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,18.155395245459815,13.97647830234071,1363.058851435193,5.947562896483713,9.273780485210471,0.444015444015444,5.507100259935534
FD002,44,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,20.21213510104791,15.451307495588502,1585.8942198824625,6.878324107881845,10.260034089673557,0.3552123552123552,4.134677235224072
FD003,42,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,12.74619151091301,9.131575560569765,276.6231040449866,4.6329683698503406,4.60704557377772,0.54,5.100226302146911
FD003,42,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,14.729684166987369,11.192449326515195,459.46366312364177,6.030555045334545,6.221264704513894,0.61,7.509956421852112
FD003,42,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,13.1711120016594,9.655262928009034,284.86975143466213,6.191384068649831,5.401185225025143,0.5,5.36102861404419
FD003,42,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,12.855649957179454,9.441852169036864,266.16124832010814,4.406999832987792,4.646686376703332,0.47,4.687911930084229
FD003,43,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,15.369550369312233,11.010390281677246,675.5636296824389,4.892965493361028,6.212567691621732,0.54,6.819273490905761
FD003,43,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,14.692292143915228,10.248286542892457,476.2307852397653,3.9245615668758775,5.332808183972979,0.56,6.495596985816956
FD003,43,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,16.518989462618926,11.115173301696778,827.6817981124358,5.227917245473671,6.573662758216238,0.57,7.438764805793762
FD003,43,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,15.5848660597831,10.700979359149931,582.3324886561917,2.985559659367861,4.359021109570793,0.38,4.38225154876709
FD003,44,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,16.004095829486587,11.332249970436097,736.6572264252829,7.617310290202474,7.112162809929659,0.62,8.347384538650513
FD003,44,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,16.5877654450293,11.67170560836792,1038.007277602714,6.956541037597633,6.691392787751099,0.65,8.655286264419555
FD003,44,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,14.609955712539088,10.746255602836609,437.4598871877824,4.120016125342599,4.457426827369543,0.6,6.87709939956665
FD003,44,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,14.679949274138096,9.867779121398923,483.4096258742202,4.192130724829293,3.991737361204409,0.43,4.882875876426697
FD004,42,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,23.40544343177519,17.262659993863874,10588.195621709314,17.94657413081517,22.170335346933022,0.4879032258064516,8.95065402215527
FD004,42,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,23.07308395316734,17.092704471080534,6979.591554353287,14.834665231888344,20.82723716552897,0.5241935483870968,9.218708788194965
FD004,42,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,21.34484342547785,15.699909281346104,3338.084744911307,12.98247948054584,16.446939967582743,0.5443548387096774,7.847569092627494
FD004,42,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,23.06979528595625,17.42124700738538,3227.419800836888,12.303008032357956,16.042030335612925,0.4314516129032258,6.457068612498622
FD004,43,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,24.38740872691269,18.707598745822903,13731.658332602963,23.65214911763545,27.16611459250224,0.5645161290322581,11.96960316165801
FD004,43,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,22.399884120346776,17.239537260224743,11773.147888980136,19.55648976678924,21.70076795710481,0.5443548387096774,9.548802348875231
FD004,43,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,22.83967247629306,17.54844912790483,9083.058124204115,21.449869133007063,24.690827798042307,0.5887096774193549,12.00056516355084
FD004,43,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,21.20583617474929,15.851152421966676,2994.257164727139,12.129068177081724,14.531422896439915,0.4879032258064516,6.18386895233585
FD004,44,lstm_baseline_h64_l1_w30,LSTM baseline,lstm,22.401366004811194,16.541035602169654,3894.9098436506574,12.771820776666864,16.701579079510687,0.4838709677419355,6.690363357144017
FD004,44,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,Dual-LSTM-no-cycle,21.815954213115063,16.07076026066657,6678.167065441733,12.709910241683898,17.38798550861115,0.5443548387096774,8.56944493324526
FD004,44,dual_cycle_h64_l1_w30,Dual-LSTM cycle,Dual-LSTM-cycle,22.773523768379995,16.3864168832379,4364.472020942141,13.599775628100064,16.43443326898004,0.5120967741935484,7.152676474663519
FD004,44,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,Dual-LSTM-cycle-safety-w2,22.87828273027774,16.439249461696996,3756.0411188326734,12.015783906925291,14.748575575356844,0.4153225806451613,5.249838048411954
