"category","year","title","venue","dataset","method","metrics","main_contribution","limitations","relation_to_my_project","verification","doi_or_link"
"foundational","2006","A Review on Machinery Diagnostics and Prognostics Implementing Condition-Based Maintenance","Mechanical Systems and Signal Processing","not dataset-specific","CBM/prognostics review","not benchmark-specific","Frames diagnostics, prognostics, and condition-based maintenance as an integrated decision problem.","Pre-deep-learning review; does not address C-MAPSS sequence models.","Supports the PHM and maintenance-decision motivation for safety-oriented RUL.","verified DOI","https://doi.org/10.1016/j.ymssp.2005.09.012"
"foundational","2008","Damage propagation modeling for aircraft engine run-to-failure simulation","2008 International Conference on Prognostics and Health Management","C-MAPSS simulated turbofan run-to-failure","physics-based simulation benchmark","RUL benchmark protocol foundation","Introduces the run-to-failure simulation setting underlying NASA C-MAPSS.","Simulation benchmark; not real fleet telemetry.","Dataset boundary for FD001-FD004 and the project's scope limitation.","verified DOI","https://doi.org/10.1109/PHM.2008.4711414"
"foundational","2021","Aircraft Engine Run-to-Failure Dataset under Real Flight Conditions for Prognostics and Diagnostics","Data","N-CMAPSS","new dataset/data descriptor","dataset descriptor","Provides N-CMAPSS under realistic flight profiles, bridging classic C-MAPSS and more realistic profiles.","Dataset paper, not a model comparison; requires future experiments.","Future path beyond FD001/FD003 toward realistic flight-profile validation.","verified DOI","https://doi.org/10.3390/data6010005"
"direct_baseline","2016","Deep Convolutional Neural Network Based Regression Approach for Estimation of Remaining Useful Life","DASFAA / Lecture Notes in Computer Science","C-MAPSS","deep CNN regression","RMSE, NASA score","Early CNN formulation for RUL regression from sensor sequences.","Older architecture; limited safety/uncertainty discussion.","Baseline for the project's 1D-CNN and diagnostic comparison.","verified DOI","https://doi.org/10.1007/978-3-319-32025-0_14"
"direct_baseline","2017","Long Short-Term Memory Network for Remaining Useful Life Estimation","IEEE ICPHM","C-MAPSS","LSTM sequence model","RMSE, NASA score","Classic recurrent neural network baseline for C-MAPSS RUL.","Focuses on point accuracy; not safety-aware.","Baseline for local LSTM/GRU comparison under leakage-safe preprocessing.","verified DOI","https://doi.org/10.1109/ICPHM.2017.7998311"
"direct_baseline","2018","Remaining useful life estimation in prognostics using deep convolution neural networks","Reliability Engineering & System Safety","C-MAPSS","deep CNN","RMSE, NASA score","Shows stronger CNN-based prognostics pipeline for RUL estimation.","Architecture-specific; limited maintenance-decision evaluation.","Prevents over-interpreting local CNN failure as a general CNN limitation.","verified DOI","https://doi.org/10.1016/j.ress.2017.11.021"
"direction_support","2020","Remaining useful lifetime prediction via deep domain adaptation","Reliability Engineering & System Safety","C-MAPSS cross-domain settings","deep domain adaptation","RMSE, NASA score","Foundational RUL domain adaptation paper for distribution-shifted operating/fault conditions.","Pre-2022 but essential for transfer-generalization framing.","Motivates the project's FD source-target stress tests and future domain adaptation module.","verified DOI","https://doi.org/10.1016/j.ress.2019.106682"
"direction_support","2021","Adaptive Spatio-Temporal Graph Information Fusion for Remaining Useful Life Prediction","IEEE Sensors Journal","RUL sensor time-series, commonly C-MAPSS-oriented","spatio-temporal graph information fusion","RMSE, score","Models sensor relations with graph/spatio-temporal fusion for RUL.","Full dataset/protocol details not inspected in this review.","Supports sensor-relationship modeling, XAI, and robustness discussion.","verified DOI/OpenAlex","https://doi.org/10.1109/JSEN.2021.3136622"
"direct_baseline","2022","A Deep Learning Model for Remaining Useful Life Prediction of Aircraft Turbofan Engine on C-MAPSS Dataset","IEEE Access","C-MAPSS FD001-FD004","LSTM with preprocessing and label strategy","RMSE, NASA score","Shows that preprocessing, sensor selection, and RUL label construction remain publishable design levers.","Still point-prediction focused; limited uncertainty or decision policy.","Closest direct comparator for local FD001/FD003 LSTM/GRU baseline and preprocessing choices.","verified DOI","https://doi.org/10.1109/ACCESS.2022.3203406"
"direct_baseline","2022","An enhanced CNN-LSTM remaining useful life prediction model for aircraft engine with attention mechanism","PeerJ Computer Science","C-MAPSS","CNN-LSTM with CBAM attention","RMSE, score","Combines CNN feature extraction, LSTM temporal learning, and attention for aircraft-engine RUL.","Focus remains benchmark accuracy; limited safety-policy framing.","Supports the deep sequence and attention baseline category.","verified DOI","https://doi.org/10.7717/peerj-cs.1084"
"direct_baseline","2022","Remaining Useful Life Prediction of an Aircraft Turbofan Engine Using Deep Layer Recurrent Neural Networks","Actuators","C-MAPSS FD001 and PHM08 Challenge according to open preview","deep layer recurrent neural networks vs MLP/NARX/CFNN","MAE, RMSE","Provides recurrent neural network baseline on aircraft turbofan RUL with FD001-oriented experiments.","Mostly FD001 and protocol/label details need careful matching before numeric comparison.","Useful direct recurrent baseline for FD001 comparisons.","verified DOI","https://doi.org/10.3390/act11030067"
"direct_baseline","2022","Prediction of remaining useful life based on bidirectional gated recurrent unit with temporal self-attention mechanism","Reliability Engineering & System Safety","aero-engine/C-MAPSS likely, exact FD details unverified","BiGRU with temporal self-attention","RMSE, score, exact details unverified","Strong GRU+attention baseline for RUL sequence modeling.","Full FD subset and metric table need full-text verification.","Useful comparator for current GRU, window, and safety-aware variants.","verified DOI","https://doi.org/10.1016/j.ress.2021.108297"
"direct_baseline","2022","Dual-Aspect Self-Attention Based on Transformer for Remaining Useful Life Prediction","IEEE Transactions on Instrumentation and Measurement","C-MAPSS likely, exact FD details unverified","dual-aspect self-attention Transformer","RUL metrics, exact details unverified","Early Transformer-style RUL baseline with dual self-attention.","Requires full-text verification for preprocessing and FD subsets.","Supports Transformer line missing from current repository.","verified DOI","https://doi.org/10.1109/TIM.2022.3160561"
"direct_baseline","2022","A gated graph convolutional network with multi-sensor signals for remaining useful life prediction","Knowledge-Based Systems","C-MAPSS plus wind turbine and tool wear according to scout","gated graph convolutional network with quantile regression","RUL and confidence interval metrics","Combines graph modeling of multi-sensor signals with uncertainty-oriented quantile prediction.","Multi-dataset protocol needs disentangling for C-MAPSS-only comparison.","Bridges GNN, sensor relations, and uncertainty for future work.","verified DOI","https://doi.org/10.1016/j.knosys.2022.109340"
"direction_support","2022","Remaining Useful Life Prediction Based on Multi-Representation Domain Adaptation","Mathematics","C-MAPSS-like cross-condition RUL","LSTM with multi-representation domain adaptation","RMSE, score","Aligns source and target representations across operating/failure domains.","Domain adaptation complexity beyond current implemented stress tests.","Future upgrade path from domain-shift evaluation to actual adaptation.","verified DOI","https://doi.org/10.3390/math10244647"
"direction_support","2022","Explainable and Interpretable AI-Assisted Remaining Useful Life Estimation for Aeroengines","ASME Turbo Expo","open-source aeroengine/turbofan degradation data","DNN with explainability/interpretability analysis","RUL regression metrics, feature-selection analysis","Emphasizes explainability for trusted aeroengine RUL under strict safety standards.","Proceedings paper; not a C-MAPSS-only benchmark.","Motivates XAI and sensor-level explanation beyond scalar accuracy.","verified DOI","https://doi.org/10.1115/GT2022-80777"
"direct_baseline","2023","Spatial correlation and temporal attention-based LSTM for remaining useful life prediction of turbofan engine","Measurement","turbofan RUL, likely C-MAPSS","spatial-correlation and temporal-attention LSTM","RMSE, score","Adds spatial correlation and temporal attention to LSTM RUL modeling.","No decision/uncertainty emphasis in metadata.","Comparator for attention-augmented recurrent models beyond local GRU/LSTM.","verified DOI","https://doi.org/10.1016/j.measurement.2023.112816"
"direct_baseline","2023","Global attention mechanism based deep learning for remaining useful life prediction of aero-engine","Measurement","aero-engine RUL benchmark, likely C-MAPSS","global attention deep model","RMSE, score","Uses global attention to improve degradation feature extraction.","Full protocol details require full-text inspection.","Attention baseline for taxonomy and future model-extension discussion.","verified DOI","https://doi.org/10.1016/j.measurement.2023.113098"
"direct_baseline","2023","Remaining Useful Life Prediction for Turbofan Engine Using SAE-TCN Model","Aerospace","NASA C-MAPSS","stacked autoencoder plus temporal convolutional network","RMSE, common ML comparisons","Combines dimensionality reduction and TCN for long time-span, high-dimensional sensor data.","Still primarily point-estimation benchmark evaluation.","Supports adding TCN as a future direct baseline.","verified DOI","https://doi.org/10.3390/aerospace10080715"
"direct_baseline","2023","Adaptively Lightweight Spatiotemporal Information-Extraction-Operator-Based DL Method for Aero-Engine RUL Prediction","Sensors","aero-engine RUL benchmark","Inv-GRU lightweight adaptive spatiotemporal operator","RMSE, score","Modifies GRU with involution-like adaptive spatiotemporal extraction while reducing parameters.","Novel-operator focus; safety/decision metrics not central.","Relevant to the project's GRU baseline and safety-aware GRU extension.","verified DOI","https://doi.org/10.3390/s23136163"
"direct_baseline","2023","Remaining Useful Life Prediction of Aircraft Turbofan Engine Based on Random Forest Feature Selection and Multi-Layer Perceptron","Applied Sciences","C-MAPSS FD001-FD004 confirmed by scout","Random Forest feature selection plus Bayesian-optimized MLP","RMSE, MAE, R2, NASA score","Covers all four FD subsets and uses RF for feature screening before MLP prediction.","RF is feature selector rather than final tree-regression baseline.","Relevant to current traditional ML/feature-selection discussion and FD002/FD004 gap.","verified DOI","https://doi.org/10.3390/app13127186"
"direct_baseline","2023","Aero-engine prognosis strategy based on multi-scale feature fusion and multi-task parallel learning","Reliability Engineering & System Safety","C-MAPSS and N-CMAPSS according to scout","multi-scale feature fusion and multi-task RUL/fault diagnosis","RUL and fault diagnosis metrics","Connects RUL prediction with fault diagnosis through multi-task parallel learning.","More complex task setting than current single-task RUL project.","Supports future FD003/FD004 fault-mode-aware extension.","verified DOI","https://doi.org/10.1016/j.ress.2023.109182"
"direction_support","2023","Deep reinforcement learning for predictive aircraft maintenance using probabilistic Remaining-Useful-Life prognostics","Reliability Engineering & System Safety","aircraft maintenance / probabilistic RUL","deep reinforcement learning with probabilistic RUL","maintenance cost/reward metrics","Connects RUL uncertainty to predictive aircraft-maintenance decisions.","Decision model assumptions may not transfer to current simple simulator.","Key evidence for policy-oriented evaluation and confidence-bound maintenance triggers.","verified DOI","https://doi.org/10.1016/j.ress.2022.108908"
"direction_support","2022","Alarm-based predictive maintenance scheduling for aircraft engines with imperfect Remaining Useful Life prognostics","Reliability Engineering & System Safety","aircraft engines / fleet scheduling","alarm-based predictive maintenance scheduling with imperfect prognostics","maintenance cost, scheduling and alarm metrics","Explicitly studies aircraft-engine scheduling when RUL prognostics are imperfect.","Fleet/cost assumptions are model-based, not local C-MAPSS validation.","Supports lead-time, late-maintenance, and wasted-life cost simulation.","verified DOI","https://doi.org/10.1016/j.ress.2022.108341"
"direction_support","2023","Dynamic predictive maintenance for multiple components using data-driven probabilistic RUL prognostics: The case of turbofan engines","Reliability Engineering & System Safety","turbofan engines","dynamic predictive maintenance with probabilistic RUL","maintenance cost and scheduling metrics","Studies multi-component maintenance under probabilistic prognostics.","Broader maintenance optimization than current single-engine threshold simulator.","Supports expanding from prediction metrics to fleet/policy decisions.","verified DOI","https://doi.org/10.1016/j.ress.2023.109199"
"direction_support","2023","Scalability, Explainability and Performance of Data-Driven Algorithms in Predicting the Remaining Useful Life: A Comprehensive Review","IEEE Access","RUL literature across domains","comprehensive review","review-level comparison","Synthesizes scalability, explainability, and performance concerns in data-driven RUL.","Not aero-engine-only; review-level rather than experimental baseline.","Supports the review's XAI and robustness gap framing.","verified DOI","https://doi.org/10.1109/ACCESS.2023.3267960"
"direction_support","2023","An Explainable Artificial Intelligence Approach for Remaining Useful Life Prediction","Aerospace","RUL benchmark, dataset details to inspect","XAI for RUL","RUL accuracy plus interpretability","Raises explainability as part of RUL trustworthiness.","Dataset and protocol details not extracted from metadata alone.","Supports local feature importance and occlusion-analysis tooling.","verified DOI","https://doi.org/10.3390/aerospace10050474"
"direction_support","2023","A Novel Remaining Useful Life Probability Prediction Approach for Aero-Engine with Improved Bayesian Uncertainty Estimation Based on Degradation Data","Applied Sciences","aero-engine degradation data, exact benchmark details unverified","PCA, BiGRU, improved variational Bayesian inference, Gaussian mixture","point accuracy and confidence interval metrics, exact values unverified","Directly addresses probabilistic RUL and interval prediction for aero-engine degradation.","Details require full-text verification before making numeric claims.","Supports interval metrics and confidence calibration extensions.","verified DOI","https://doi.org/10.3390/app13169194"
"direction_support","2023","Data-Driven Predictive Maintenance Policy Based on Dynamic Probability Distribution Prediction of Remaining Useful Life","Machines","industrial equipment, exact dataset details unverified","LSTM with dynamic RUL probability distribution and policy optimization","maintenance decision/cost metrics, exact values unverified","Uses predicted RUL distributions as inputs to maintenance policy optimization.","Not aircraft-engine-specific in verified metadata.","Supports decision simulation framing when RUL is probabilistic rather than point-only.","verified DOI","https://doi.org/10.3390/machines11100923"
"direct_baseline","2024","A novel transformer-based DL model enhanced by position-sensitive attention and gated hierarchical LSTM for aero-engine RUL prediction","Scientific Reports","aero-engine RUL, likely C-MAPSS","Transformer with position-sensitive attention and gated hierarchical LSTM","RMSE, score","Targets Transformer weakness in local context and long-term dependency modeling.","Architecture complexity; no maintenance-policy validation.","Direct modern baseline for Transformer/attention line.","verified DOI","https://doi.org/10.1038/s41598-024-59095-3"
"direct_baseline","2024","A Two-Stage Attention-Based Hierarchical Transformer for Turbofan Engine Remaining Useful Life Prediction","Sensors","turbofan RUL, likely C-MAPSS","STAR hierarchical Transformer with temporal and sensor-wise attention","RMSE, score","Separates temporal and sensor-wise attention to address multivariate sensor dependencies.","Still point-prediction oriented.","Strong comparator for sensor-attention and robustness discussion.","verified DOI","https://doi.org/10.3390/s24030824"
"direct_baseline","2024","Trend-augmented and temporal-featured Transformer network with multi-sensor signals for remaining useful life prediction","Reliability Engineering & System Safety","C-MAPSS and milling according to scout","TATFA-Transformer with BiGRU and time-feature attention","MAE, RMSE, score, exact details unverified","Adds trend augmentation and temporal feature attention for multi-sensor RUL.","Architecture complex; not directly fair against simple GRU without matching budget.","Strong Transformer/attention comparator for future baseline expansion.","verified DOI","https://doi.org/10.1016/j.ress.2023.109662"
"direct_baseline","2024","Transformer Encoder Enhanced by an Adaptive Graph Convolutional Neural Network for Prediction of Aero-Engines' Remaining Useful Life","Aerospace","C-MAPSS FD001-FD004 confirmed by scout","adaptive GCN plus Transformer encoder","RMSE and score/SF","Combines sensor graph learning with Transformer encoder across all four FD subsets.","Score formula comparability and preprocessing details require careful reading.","Good FD002/FD004 + Transformer/GNN target baseline.","verified DOI","https://doi.org/10.3390/aerospace11040289"
"direct_baseline","2024","MST-GAT: A multi-perspective spatial-temporal graph attention network for multi-sensor equipment remaining useful life prediction","Information Fusion","three benchmarks including C-MAPSS likely, exact FD details unverified","spatial-temporal graph attention network with TCN/GAT elements","RUL and prediction interval metrics, exact details unverified","Integrates graph attention, temporal modeling, and uncertainty for multi-sensor RUL.","Multi-dataset scope and exact C-MAPSS protocol require full-text extraction.","Supports GNN/TCN/UQ frontier discussion.","verified DOI","https://doi.org/10.1016/j.inffus.2024.102462"
"direct_baseline","2024","Enhancing non-stationary feature learning for remaining useful life prediction of aero-engine under multiple operating conditions","Measurement","multi-operating-condition aero-engine RUL","non-stationary feature learning","RMSE, score","Targets non-stationary degradation under multiple operating conditions.","Full text needed for precise subset/protocol.","Important bridge from FD001/FD003 to FD002/FD004 and domain shift.","verified DOI","https://doi.org/10.1016/j.measurement.2024.114242"
"direct_baseline","2024","Parallel processing of sensor signals using deep learning method for aero-engine remaining useful life prediction","Measurement Science and Technology","aero-engine RUL benchmark","parallel per-sensor signal processing with Inception/filter modules","RMSE, score","Processes sensor signals through parallel branches and feature filtering.","May increase model complexity; decision metrics absent.","Motivates sensor-wise robustness and sensor importance analyses.","verified DOI","https://doi.org/10.1088/1361-6501/ad5746"
"direction_support","2024","A Parallel Prognostic Method Integrating Uncertainty Quantification for Probabilistic Remaining Useful Life Prediction of Aero-Engine","Processes","aero-engine RUL","parallel prognostic network with uncertainty quantification","PICP/MPIW/Winkler-like probabilistic metrics, RMSE","Addresses point-estimation limitation by producing probabilistic RUL information.","Requires careful calibration validation; not directly comparable to local smoke run yet.","Motivates MC Dropout/deep ensemble intervals and calibration metrics.","verified DOI","https://doi.org/10.3390/pr12122925"
"direction_support","2024","Bayesian gated-transformer model for risk-aware prediction of aero-engine remaining useful life","Expert Systems with Applications","aero-engine RUL benchmark","Bayesian gated Transformer","risk-aware and accuracy metrics","Combines uncertainty/risk framing with Transformer architecture for aero-engine RUL.","Full abstract not available through Crossref in this run; claims limited to metadata and title.","Closest support for overestimation-risk and Bayesian uncertainty positioning.","verified DOI/OpenAlex","https://doi.org/10.1016/j.eswa.2023.121859"
"direction_support","2024","Explainable AI based Remaining Useful Life Estimation of Aircraft Engines","AIAA SciTech Forum","aircraft engine RUL","XAI-based RUL estimation","accuracy and explainability metrics","Connects aircraft-engine RUL to explainable model inspection.","Proceedings paper; exact dataset and model details require full text.","Supports local XAI as a trust layer rather than only a visualization extra.","verified DOI","https://doi.org/10.2514/6.2024-2530"
"direction_support","2024","Using Explainable Artificial Intelligence to Interpret Remaining Useful Life Estimation with Gated Recurrent Unit","Annual Conference of the PHM Society","C-MAPSS, according to scout; exact details require full text","GRU with LIME explainability","global/local feature importance and RUL metrics","Connects GRU RUL prediction to interpretable local/global explanations.","Conference paper; detailed protocol should be checked before numeric comparison.","Directly supports adding XAI to the project's GRU pipeline.","verified DOI","https://doi.org/10.36001/phmconf.2024.v16i1.4124"
"direction_support","2024","Predictive Maintenance Scheduling for Aircraft Engines Based on Remaining Useful Life Prediction","IEEE Internet of Things Journal","aircraft engines","maintenance scheduling based on RUL prediction","maintenance scheduling/cost metrics","Moves from RUL estimates to scheduling decisions for aircraft engines.","Decision model not yet reproduced in current project.","Supports maintenance-policy evaluation as a separate contribution axis.","verified DOI","https://doi.org/10.1109/JIOT.2024.3376715"
"direct_baseline","2024","Machine Learning Regression Models for Turbofan Engines: A Comparative Study on Remaining Useful Life Prediction","ASME Turbo Expo","turbofan/C-MAPSS likely, exact FD details unverified","classical machine-learning regression models","RUL regression metrics, exact details unverified","Recent classical ML comparative candidate for turbofan RUL.","Proceedings metadata only in this run; needs full-text protocol verification.","Potential direct comparator for Ridge/RF/GB/XGBoost-style baselines.","verified DOI","https://doi.org/10.1115/GT2024-127544"
"direction_support","2022","Transfer Learning for Remaining Useful Life Prediction Across Operating Conditions Based on Multisource Domain Adaptation","IEEE/ASME Transactions on Mechatronics","bearing run-to-failure datasets, non-aero-engine","multisource domain adaptation for regression","cross-condition RUL metrics, exact values unverified","Shows multisource transfer learning for RUL across operating conditions.","Non-aero-engine dataset, so it is methodological support rather than direct comparator.","Informs future FD001/FD002/FD003/FD004 multisource transfer design.","verified DOI","https://doi.org/10.1109/TMECH.2022.3147534"
"direction_support","2024","Self-supervised domain adaptation for machinery remaining useful life prediction","Reliability Engineering & System Safety","machinery RUL datasets, exact datasets unverified","self-supervised domain adaptation","target generalization metrics, exact values unverified","Uses self-supervision to improve target-domain RUL generalization.","Not aircraft-engine-specific in title/metadata.","Supports future unsupervised target-FD adaptation beyond stress testing.","verified DOI","https://doi.org/10.1016/j.ress.2024.110296"
"direct_baseline","2025","Deep multi-scale multi-head attention network for aero-engine remaining useful life prediction","Applied Intelligence","aero-engine RUL benchmark","multi-scale multi-head attention network","RMSE, score","Represents 2025 attention-based deep architecture trend.","Too recent for extensive independent replication in this review.","Timeline evidence for current architecture frontier; future comparator.","verified DOI","https://doi.org/10.1007/s10489-025-06705-w"
"direct_baseline","2025","STF2: A novel spatial-temporal feature fusion method for aero-engine remaining useful life prediction","Expert Systems with Applications","aero-engine RUL benchmark","spatial-temporal feature fusion","RMSE, score","Advances spatial-temporal feature fusion for aero-engine RUL.","Full protocol not inspected here; newest literature may still settle.","Future comparator for spatial-temporal modeling.","verified DOI","https://doi.org/10.1016/j.eswa.2025.128370"
"direct_baseline","2025","Remaining Useful Life Prediction of Aero-Engine Based on Improved GWO and 1DCNN","Machines","aero-engine RUL benchmark","improved grey wolf optimization plus 1D-CNN","RMSE, score","Optimizes 1D-CNN-style architecture for aero-engine RUL.","Metaheuristic tuning may complicate fair compute comparison.","Useful contrast to local compact 1D-CNN failure.","verified DOI","https://doi.org/10.3390/machines13070583"
"direct_baseline","2025","Enhanced Remaining Useful Life Prediction for Turbofan Engines Using Spatiotemporal Koopman Dual-Branch Transformer","IEEE Transactions on Instrumentation and Measurement","turbofan RUL benchmark","Koopman dual-branch Transformer","RMSE, score","Combines spatiotemporal representation and Transformer-style architecture.","Very recent; full reproducibility not assessed.","Future high-end Transformer comparator.","verified DOI","https://doi.org/10.1109/TIM.2025.3625335"
"direction_support","2025","Predictive maintenance programs for aircraft engines based on remaining useful life prediction","Scientific Reports","aircraft engines","maintenance-program design using RUL prediction","maintenance program metrics","Directly frames RUL as part of aircraft-engine maintenance-program construction.","Published after many C-MAPSS model papers; exact assumptions need full text.","Supports policy-oriented upgrade and cost-aware evaluation.","verified DOI/OpenAlex","https://doi.org/10.1038/s41598-025-19957-w"
"direction_support","2025","Novel formulations and metaheuristic algorithms for predictive maintenance of aircraft engines with remaining useful life prediction","Reliability Engineering & System Safety","aircraft engines","optimization formulations and metaheuristics for maintenance","maintenance cost/schedule metrics","Provides optimization perspective for predictive maintenance using RUL forecasts.","Optimization focus, not model-training benchmark.","Supports future maintenance-decision cost experiments.","verified DOI","https://doi.org/10.1016/j.ress.2025.111064"
"direction_support","2025","Interpretable ensemble remaining useful life prediction enables dynamic maintenance scheduling for aircraft engines","Scientific Reports","aircraft engines","interpretable ensemble RUL plus dynamic scheduling","prediction and scheduling metrics","Combines interpretable RUL with dynamic maintenance scheduling.","Newest paper; detailed dataset/protocol not checked beyond DOI metadata.","Connects local uncertainty/ensemble/XAI plans with decision scheduling.","verified DOI","https://doi.org/10.1038/s41598-025-23473-2"
